wkt,measure,type,description,easting,northing,gridref,lon,lat
POINT(-0.11778370012577927 51.517334901118716),lon : -0.1178° / lat : 51.5173°,Point,"William Benbow, 1825, 252 High Holborn",530695,181503,TQ 3069 8150,-0.1177837,51.517334901118716
POINT(-0.11014337011124657 51.51754517348286),lon : -0.1101° / lat : 51.5175°,Point,"Louis Dubois, 1861, 9 Dyer's Buildings, Holborn Bars, E.C., removed from 25, Bedford Row",531225,181540,TQ 3122 8153,-0.11014337,51.51754517348286
POINT(-0.11610426925153534 51.51849903203535),lon : -0.1161° / lat : 51.5185°,Point,"Weir, 1864-1865, 23 Featherstone-buildings, Holborn, London, W.C.",530809,181635,TQ 3080 8163,-0.116104269,51.51849903203535
POINT(-0.08745885708787604 51.521245074740904),lon : -0.0875° / lat : 51.5212°,Point,"T.T.T, 1861, 66, Cheapside, E.C.",532788,181992,TQ 3278 8199,-0.087458857,51.521245074740904
POINT(-0.10778809984987008 51.52317193076891),lon : -0.1078° / lat : 51.5232°,Point,"Edward Duncombe, 1828, 28 Fleet-market",531372,182170,TQ 3137 8216,-0.1077881,51.52317193076891
POINT(-0.11668578152501013 51.52037955384753),lon : -0.1167° / lat : 51.5204°,Point,"Louis Dubois, 1861-1862, 25 Bedford Row, London, W.C.",530763,181843,TQ 3076 8184,-0.116685782,51.52037955384753
POINT(-0.1149233673712158 51.51298275605498),lon : -0.1149° / lat : 51.513°,Point,"Paul de Paris, 1857, 1863-1864, 1866, 2 Holywell Street, Strand, London",530906,181024,TQ 3090 8102,-0.114923367,51.51298275605498
POINT(-0.11490998727646597 51.513001595734465),lon : -0.1149° / lat : 51.513°,Point,"Theophilus Sebastian Judge, 1868-1869,  2, Holywell-street, Strand, London",530907,181026,TQ 3090 8102,-0.114909987,51.513001595734465
POINT(-0.1139146325611522 51.513183642257076),lon : -0.1139° / lat : 51.5132°,Point,"Thomas Paine Carlile, 1848, 252 Strand (from 103)",530976,181048,TQ 3097 8104,-0.113914633,51.513183642257076
POINT(-0.11364794635047407 51.51153757693913),lon : -0.1136° / lat : 51.5115°,Point,"Mons Louise, 1846, 18, Arundel-street, Strand",530999,180865,TQ 3099 8086,-0.113647946,51.51153757693913
POINT(-0.11356116372941329 51.51278831613138),lon : -0.1136° / lat : 51.5128°,Point,"Croker and Co, 1844-1845, 199 Strand, corner of Milford-lane",531001,181005,TQ 3100 8100,-0.113561164,51.51278831613138
POINT(-0.10779976193207193 51.50069842689291),lon : -0.1078° / lat : 51.5007°,Point,"Emile Levine, 1857, 31, Rue de Colisses [sic], Paris and 195, Waterloo Bridge-road, London, England",531436,179671,TQ 3143 7967,-0.107799762,51.50069842689291
POINT(-0.12869941416523983 51.51332846995396),lon : -0.1287° / lat : 51.5133°,Point,"Edward Duncombe, 1851-1854, 7 West-street, Upper St. Martin's-lane",529949,181038,TQ 2994 8103,-0.128699414,51.51332846995396
POINT(-0.1272390339768499 51.51354220317364),lon : -0.1272° / lat : 51.5135°,Point,"Edward Duncombe, 1854-1866, 28, Little St. Andrew-street, Upper St. Martin's-Lane",530050,181064,TQ 3005 8106,-0.127239034,51.51354220317364
POINT(-0.12240624958387639 51.514461941454584),lon : -0.1224° / lat : 51.5145°,Point,"Edward Duncombe, 1838-1843, 78, Long-acre, Drury-lane",530383,181175,TQ 3038 8117,-0.12240625,51.514461941454584
POINT(-0.12239893444878755 51.51446378247178),lon : -0.1224° / lat : 51.5145°,Point,"Novello and Co, 1843, 78 Long Acre",530383,181175,TQ 3038 8117,-0.122398934,51.51446378247178
POINT(-0.12240119353462382 51.51446947288807),lon : -0.1224° / lat : 51.5145°,Point,"Jackson and Co, 1844, 78, Long Acre",530383,181176,TQ 3038 8117,-0.122401194,51.51446947288807
POINT(-0.12533988642179236 51.51575467698089),lon : -0.1253° / lat : 51.5158°,Point,"Edward Duncombe, 1837-1838, 180, High Holborn",530176,181314,TQ 3017 8131,-0.125339886,51.51575467698089
POINT(-0.12601021531729592 51.52862605944682),lon : -0.126° / lat : 51.5286°,Point,"Anderson, 1865-1870, 32 Bidborough Street, London, W.C.",530093,182744,TQ 3009 8274,-0.126010215,51.52862605944682
POINT(-0.11616478928722469 51.512527088450526),lon : -0.1162° / lat : 51.5125°,Point,"Henry May, 1854, 1856, 17, Holywell-street, Strand",530822,180971,TQ 3082 8097,-0.116164789,51.512527088450526
POINT(-0.11611921166200746 51.51255670225402),lon : -0.1161° / lat : 51.5126°,Point,"William John Dugdale, 1849-1850, 35 Holywell Street, Strand",530825,180974,TQ 3082 8097,-0.116119212,51.51255670225402
POINT(-0.11610255429080395 51.512573952594465),lon : -0.1161° / lat : 51.5126°,Point,"William Dugdale, 1839-1853, 37 Holywell-Street, Strand",530826,180976,TQ 3082 8097,-0.116102554,51.512573952594465
POINT(-0.11609586599078257 51.51257448968039),lon : -0.1161° / lat : 51.5126°,Point,"Felix Danjer (William Dugdale?), 1854, 37 Holywell-Street, Strand",530826,180976,TQ 3082 8097,-0.116095866,51.51257448968039
POINT(-0.11608501676678483 51.51258016744538),lon : -0.1161° / lat : 51.5126°,Point,"William Dugdale, 1863, 37 Holywell-Street, Strand",530827,180977,TQ 3082 8097,-0.116085017,51.51258016744538
POINT(-0.1159865929771624 51.51261877921428),lon : -0.116° / lat : 51.5126°,Point,"George Jones, 1865, 34 Holywell Street Strand W.C.",530834,180981,TQ 3083 8098,-0.115986593,51.51261877921428
POINT(-0.11594083042183538 51.512641348916986),lon : -0.1159° / lat : 51.5126°,Point,"Richard Groves, 1864-1869, 33 Holywell Street, Strand",530837,180984,TQ 3083 8098,-0.11594083,51.512641348916986
POINT(-0.1155589553670892 51.51306383734135),lon : -0.1156° / lat : 51.5131°,Point,"Michael Saunders, 1866, 49 Wych-street, Strand, W.C.",530862,181032,TQ 3086 8103,-0.115558955,51.51306383734135
POINT(-0.11530453100595948 51.51284751338889),lon : -0.1153° / lat : 51.5128°,Point,"John Higdon Thornhill, 1856-1857, 53 Holywell Street, Strand, London",530880,181008,TQ 3088 8100,-0.115304531,51.51284751338889
POINT(-0.11520621949645327 51.513138392597426),lon : -0.1152° / lat : 51.5131°,Point,"Emile Levine, 1857, 62, Wych-street, Strand, London",530886,181041,TQ 3088 8104,-0.115206219,51.513138392597426
POINT(-0.11519977077994371 51.512892949343836),lon : -0.1152° / lat : 51.5129°,Point,"John Lambert Dugdale, 1856-1857, 50 Holywell Street, Strand",530887,181013,TQ 3088 8101,-0.115199771,51.512892949343836
POINT(-0.11501839582315145 51.51294549739069),lon : -0.115° / lat : 51.5129°,Point,"William Dugdale, 1857, 5 Holywell Street, Strand",530900,181020,TQ 3089 8101,-0.115018396,51.51294549739069
POINT(-0.11000531644752719 51.514147537298726),lon : -0.11° / lat : 51.5141°,Point,"Richard Martin, 1856-1857, 183 Fleet Street",531244,181162,TQ 3124 8116,-0.110005316,51.514147537298726
POINT(-0.11001243892694823 51.51415048653041),lon : -0.11° / lat : 51.5142°,Point,"William Edwards, 1842-1851, 183 Fleet-Street",531244,181162,TQ 3124 8116,-0.110012439,51.51415048653041
POINT(-0.10977975246245482 51.51418943227006),lon : -0.1098° / lat : 51.5142°,Point,"William Ward, 1855-1859, 113, Fleet-street, near Ludgate-hill",531260,181167,TQ 3125 8116,-0.109779752,51.51418943227006
POINT(-0.1056004618761535 51.51437582949714),lon : -0.1056° / lat : 51.5144°,Point,"Edward Duncombe, 1826-1827, 188 Fleet Street",531549,181195,TQ 3154 8119,-0.105600462,51.51437582949714
POINT(-0.10778666040988329 51.514390674343616),lon : -0.1078° / lat : 51.5144°,Point,"Edward Duncombe, 1826, 165 Fleet Street",531397,181193,TQ 3139 8119,-0.10778666,51.514390674343616
POINT(-0.12385167926380257 51.509680846729196),lon : -0.1239° / lat : 51.5097°,Point,"William Ward, 1849-1851, 67 Strand, nearly facing the Adelphi Theatre",530296,180641,TQ 3029 8064,-0.123851679,51.509680846729196
POINT(-0.12064420858140742 51.51059805624058),lon : -0.1206° / lat : 51.5106°,Point,"Thomas Ward (Thomas Paine Carlile) and Frederick Glover, 1845, 103, Strand",530516,180748,TQ 3051 8074,-0.120644209,51.51059805624058
POINT(-0.12070304954167162 51.51060744619872),lon : -0.1207° / lat : 51.5106°,Point,"Thomas Paine Carlile, 1843-1848, 103, Strand",530512,180749,TQ 3051 8074,-0.12070305,51.51060744619872
POINT(-0.1276027264163052 51.510914434407056),lon : -0.1276° / lat : 51.5109°,Point,"Thomas Paine Carlile, 1849, 2, St. Martin's-Court, St. Martin's Lane",530032,180771,TQ 3003 8077,-0.127602726,51.510914434407056
POINT(-0.12161686052800627 51.511197318528076),lon : -0.1216° / lat : 51.5112°,Point,"Judge Family, 1870, 6 Exeter-street, Strand, London",530447,180813,TQ 3044 8081,-0.121616861,51.511197318528076
POINT(-0.12785650734037957 51.511322221270916),lon : -0.1279° / lat : 51.5113°,Point,"George Cannon, 1829, 16, Ryder's Court, Leicester Square",530014,180816,TQ 3001 8081,-0.127856507,51.511322221270916
POINT(-0.12785931932674727 51.51112242001608),lon : -0.1279° / lat : 51.5111°,Point,"Frederick Glover, 1846-1847, 22, St. Martin's-court, Leicester-square",530014,180794,TQ 3001 8079,-0.127859319,51.51112242001608
